TARGET_CLASS,attempt,criterion,Coverage,Total_Goals,BranchCoverage,LineCoverage,CBranchCoverage,Covered_Goals,Tests_Executed
edu.stanford.nlp.pipeline.TokenizerAnnotator,1,BRANCH;LINE;CBRANCH,0.8584905660377359,424,0.8460330578512396,0.9151648351648352,0.8760330578512396,364,76
edu.stanford.nlp.pipeline.TokenizerAnnotator,4,BRANCH;LINE;CBRANCH,0.8584905660377359,424,0.8460330578512396,0.9151648351648352,0.8760330578512396,364,72
edu.stanford.nlp.pipeline.TokenizerAnnotator,3,BRANCH;LINE;CBRANCH,0.7240566037735849,424,0.8272727272727273,0.9062637362637363,0.7024793388429752,307,27
edu.stanford.nlp.pipeline.TokenizerAnnotator,2,BRANCH;LINE;CBRANCH,0.6606603773584906,424,0.6409917355371901,0.7521978021978022,0.24793388429752067,119,3
edu.stanford.nlp.pipeline.TokenizerAnnotator,5,BRANCH;LINE;CBRANCH,0.8584905660377359,424,0.8460330578512396,0.9151648351648352,0.8760330578512396,364,72
edu.stanford.nlp.process.Morphology,1,BRANCH;LINE;CBRANCH,0.9241706161137441,211,1.0,0.9405940594059405,0.8181818181818182,195,56
edu.stanford.nlp.process.Morphology,3,BRANCH;LINE;CBRANCH,0.8151658767772512,211,0.8909090909090909,0.8316831683168316,0.7090909090909091,172,52
edu.stanford.nlp.process.Morphology,4,BRANCH;LINE;CBRANCH,0.8151658767772512,211,0.8909090909090909,0.8316831683168316,0.7090909090909091,172,50
edu.stanford.nlp.process.Morphology,5,BRANCH;LINE;CBRANCH,0.9241706161137441,211,1.0,0.9405940594059405,0.8181818181818182,195,59
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,1,BRANCH;LINE;CBRANCH,0.8040345821325648,347,0.7840909090909091,0.8245614035087719,0.7840909090909091,279,38
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,3,BRANCH;LINE;CBRANCH,0.8040345821325648,347,0.7840909090909091,0.8245614035087719,0.7840909090909091,279,44
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,4,BRANCH;LINE;CBRANCH,0.8040345821325648,347,0.7840909090909091,0.8245614035087719,0.7840909090909091,279,39
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,5,BRANCH;LINE;CBRANCH,0.25360230547550433,347,0.2159090909090909,0.29239766081871343,0.2159090909090909,88,14
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,2,BRANCH;LINE;CBRANCH,0.8040345821325648,347,0.7840909090909091,0.8245614035087719,0.7840909090909091,279,44
edu.stanford.nlp.process.PTBTokenizer,1,BRANCH;LINE;CBRANCH,0.7236084452975048,521,0.6950354609929078,0.7782426778242678,0.6595744680851063,377,71
